Problem,Variable Ordering,Pre-processing,Measure,Data
puget10,srf,None,Average left branch length,15.275000
puget10,srf,None,Longest backtracked left branch,181.000000
puget10,srf,None,Longest chain of successful assignments,12
puget10,srf,None,First ten assignments backtracked,6
puget10,srf,SAC,Assignments,593
puget10,srf,SAC,Solutions,1
puget10,srf,SAC,Dead Ends,529
puget10,srf,SAC,Backtracks,1040
puget10,srf,SAC,Backtracked left branches,120
puget10,srf,SAC,Average left branch length,15.275000
puget10,srf,SAC,Longest backtracked left branch,181.000000
puget10,srf,SAC,Longest chain of successful assignments,12
puget10,srf,SAC,First ten assignments backtracked,6
puget10,srf,SACBounds,Assignments,593
puget10,srf,SACBounds,Solutions,1
puget10,srf,SACBounds,Dead Ends,529
puget10,srf,SACBounds,Backtracks,1040
puget10,srf,SACBounds,Backtracked left branches,120
puget10,srf,SACBounds,Average left branch length,15.275000
puget10,srf,SACBounds,Longest backtracked left branch,181.000000
puget10,srf,SACBounds,Longest chain of successful assignments,12
puget10,srf,SACBounds,First ten assignments backtracked,6
puget10,srf,SSAC,Assignments,582
puget10,srf,SSAC,Solutions,1
puget10,srf,SSAC,Dead Ends,519
puget10,srf,SSAC,Backtracks,1021
puget10,srf,SSAC,Backtracked left branches,117
puget10,srf,SSAC,Average left branch length,15.564103
puget10,srf,SSAC,Longest backtracked left branch,181.000000
puget10,srf,SSAC,Longest chain of successful assignments,12
puget10,srf,SSAC,First ten assignments backtracked,3
puget10,srf,SSACBounds,Assignments,582
puget10,srf,SSACBounds,Solutions,1
puget10,srf,SSACBounds,Dead Ends,519
puget10,srf,SSACBounds,Backtracks,1021
puget10,srf,SSACBounds,Backtracked left branches,117
puget10,srf,SSACBounds,Average left branch length,15.564103
puget10,srf,SSACBounds,Longest backtracked left branch,181.000000
puget10,srf,SSACBounds,Longest chain of successful assignments,12
puget10,srf,SSACBounds,First ten assignments backtracked,3
puget10,static,GAC,Assignments,596
puget10,static,GAC,Solutions,1
puget10,static,GAC,Dead Ends,529
puget10,static,GAC,Backtracks,1040
puget10,static,GAC,Backtracked left branches,120
puget10,static,GAC,Average left branch length,15.275000
puget10,static,GAC,Longest backtracked left branch,181.000000
puget10,static,GAC,Longest chain of successful assignments,12
puget10,static,GAC,First ten assignments backtracked,6
puget10,static,None,Assignments,596
puget10,static,None,Solutions,1
puget10,static,None,Dead Ends,529
puget10,static,None,Backtracks,1040
puget10,static,None,Backtracked left branches,120
puget10,static,None,Average left branch length,15.275000
puget10,static,None,Longest backtracked left branch,181.000000
puget10,static,None,Longest chain of successful assignments,12
puget10,static,None,First ten assignments backtracked,6
puget10,static,SAC,Assignments,593
puget10,static,SAC,Solutions,1
puget10,static,SAC,Dead Ends,529
puget10,static,SAC,Backtracks,1040
puget10,static,SAC,Backtracked left branches,120
puget10,static,SAC,Average left branch length,15.275000
puget10,static,SAC,Longest backtracked left branch,181.000000
puget10,static,SAC,Longest chain of successful assignments,12
puget10,static,SAC,First ten assignments backtracked,6
puget10,static,SACBounds,Assignments,593
puget10,static,SACBounds,Solutions,1
puget10,static,SACBounds,Dead Ends,529
puget10,static,SACBounds,Backtracks,1040
puget10,static,SACBounds,Backtracked left branches,120
puget10,static,SACBounds,Average left branch length,15.275000
puget10,static,SACBounds,Longest backtracked left branch,181.000000
puget10,static,SACBounds,Longest chain of successful assignments,12
puget10,static,SACBounds,First ten assignments backtracked,6
puget10,static,SSAC,Assignments,582
puget10,static,SSAC,Solutions,1
puget10,static,SSAC,Dead Ends,519
puget10,static,SSAC,Backtracks,1021
puget10,static,SSAC,Backtracked left branches,117
puget10,static,SSAC,Average left branch length,15.564103
puget10,static,SSAC,Longest backtracked left branch,181.000000
puget10,static,SSAC,Longest chain of successful assignments,12
puget10,static,SSAC,First ten assignments backtracked,3
puget10,static,SSACBounds,Assignments,582
puget10,static,SSACBounds,Solutions,1
puget10,static,SSACBounds,Dead Ends,519
puget10,static,SSACBounds,Backtracks,1021
puget10,static,SSACBounds,Backtracked left branches,117
puget10,static,SSACBounds,Average left branch length,15.564103
puget10,static,SSACBounds,Longest backtracked left branch,181.000000
puget10,static,SSACBounds,Longest chain of successful assignments,12
puget10,static,SSACBounds,First ten assignments backtracked,3
puget2,ldf,GAC,Assignments,475
puget2,ldf,GAC,Solutions,1
puget2,ldf,GAC,Dead Ends,427
puget2,ldf,GAC,Backtracks,851
puget2,ldf,GAC,Backtracked left branches,101
puget2,ldf,GAC,Average left branch length,17.594059
puget2,ldf,GAC,Longest backtracked left branch,173.000000
puget2,ldf,GAC,Longest chain of successful assignments,29
puget2,ldf,GAC,First ten assignments backtracked,1
puget2,ldf,None,Assignments,475
puget2,ldf,None,Solutions,1
puget2,ldf,None,Dead Ends,427
