:TYPE,:START_ID,action,:END_ID
EQUALS,73,AnyVarRef:Bool:Bool:23 = 0,74
NOT_EQUALS,73,AnyVarRef:Bool:Bool:23 != 0,Dead_End_62
BACKTRACK,73,,70
EQUALS,74,AnyVarRef:Bool:Bool:24 = 0,Dead_End_59
NOT_EQUALS,74,AnyVarRef:Bool:Bool:24 != 0,75
BACKTRACK,74,,73
BACKTRACK,Dead_End_59,,74
EQUALS,75,AnyVarRef:Bool:Bool:31 = 0,Dead_End_60
NOT_EQUALS,75,AnyVarRef:Bool:Bool:31 != 0,Dead_End_61
BACKTRACK,75,,74
BACKTRACK,Dead_End_60,,75
BACKTRACK,Dead_End_61,,75
BACKTRACK,Dead_End_62,,73
EQUALS,76,AnyVarRef:Bool:Bool:23 = 0,77
NOT_EQUALS,76,AnyVarRef:Bool:Bool:23 != 0,Dead_End_69
BACKTRACK,76,,69
EQUALS,77,AnyVarRef:Bool:Bool:24 = 0,78
NOT_EQUALS,77,AnyVarRef:Bool:Bool:24 != 0,80
BACKTRACK,77,,76
EQUALS,78,AnyVarRef:Bool:Bool:25 = 0,Dead_End_63
NOT_EQUALS,78,AnyVarRef:Bool:Bool:25 != 0,79
BACKTRACK,78,,77
BACKTRACK,Dead_End_63,,78
EQUALS,79,AnyVarRef:Bool:Bool:31 = 0,Dead_End_64
NOT_EQUALS,79,AnyVarRef:Bool:Bool:31 != 0,Dead_End_65
BACKTRACK,79,,78
BACKTRACK,Dead_End_64,,79
BACKTRACK,Dead_End_65,,79
EQUALS,80,AnyVarRef:Bool:Bool:31 = 0,81
NOT_EQUALS,80,AnyVarRef:Bool:Bool:31 != 0,Dead_End_68
BACKTRACK,80,,77
EQUALS,81,AnyVarRef:Bool:Bool:32 = 0,Dead_End_66
NOT_EQUALS,81,AnyVarRef:Bool:Bool:32 != 0,Dead_End_67
BACKTRACK,81,,80
BACKTRACK,Dead_End_66,,81
BACKTRACK,Dead_End_67,,81
BACKTRACK,Dead_End_68,,80
BACKTRACK,Dead_End_69,,76
EQUALS,82,AnyVarRef:Bool:Bool:23 = 0,83
NOT_EQUALS,82,AnyVarRef:Bool:Bool:23 != 0,Dead_End_80
BACKTRACK,82,,68
EQUALS,83,AnyVarRef:Bool:Bool:24 = 0,84
NOT_EQUALS,83,AnyVarRef:Bool:Bool:24 != 0,89
BACKTRACK,83,,82
EQUALS,84,AnyVarRef:Bool:Bool:25 = 0,85
NOT_EQUALS,84,AnyVarRef:Bool:Bool:25 != 0,87
BACKTRACK,84,,83
EQUALS,85,AnyVarRef:Bool:Bool:26 = 0,Dead_End_70
NOT_EQUALS,85,AnyVarRef:Bool:Bool:26 != 0,86
BACKTRACK,85,,84
