:TYPE,:START_ID,action,:END_ID
BACKTRACK,Dead_End_41,,57
BACKTRACK,Dead_End_42,,51
EQUALS,58,AnyVarRef:Bool:Bool:47 = 0,59
NOT_EQUALS,58,AnyVarRef:Bool:Bool:47 != 0,Dead_End_53
BACKTRACK,58,,50
EQUALS,59,AnyVarRef:Bool:Bool:48 = 0,60
NOT_EQUALS,59,AnyVarRef:Bool:Bool:48 != 0,Dead_End_52
BACKTRACK,59,,58
EQUALS,60,AnyVarRef:Bool:Bool:49 = 0,61
NOT_EQUALS,60,AnyVarRef:Bool:Bool:49 != 0,64
BACKTRACK,60,,59
EQUALS,61,AnyVarRef:Bool:Bool:50 = 0,62
NOT_EQUALS,61,AnyVarRef:Bool:Bool:50 != 0,Dead_End_46
BACKTRACK,61,,60
EQUALS,62,AnyVarRef:Bool:Bool:51 = 0,63
NOT_EQUALS,62,AnyVarRef:Bool:Bool:51 != 0,Dead_End_45
BACKTRACK,62,,61
EQUALS,63,AnyVarRef:Bool:Bool:53 = 0,Dead_End_43
NOT_EQUALS,63,AnyVarRef:Bool:Bool:53 != 0,Dead_End_44
BACKTRACK,63,,62
BACKTRACK,Dead_End_43,,63
BACKTRACK,Dead_End_44,,63
BACKTRACK,Dead_End_45,,62
BACKTRACK,Dead_End_46,,61
EQUALS,64,AnyVarRef:Bool:Bool:50 = 0,65
NOT_EQUALS,64,AnyVarRef:Bool:Bool:50 != 0,Dead_End_51
BACKTRACK,64,,60
EQUALS,65,AnyVarRef:Bool:Bool:51 = 0,66
NOT_EQUALS,65,AnyVarRef:Bool:Bool:51 != 0,Dead_End_50
BACKTRACK,65,,64
EQUALS,66,AnyVarRef:Bool:Bool:53 = 0,67
NOT_EQUALS,66,AnyVarRef:Bool:Bool:53 != 0,Dead_End_49
BACKTRACK,66,,65
EQUALS,67,AnyVarRef:Bool:Bool:54 = 0,Dead_End_47
NOT_EQUALS,67,AnyVarRef:Bool:Bool:54 != 0,Dead_End_48
BACKTRACK,67,,66
BACKTRACK,Dead_End_47,,67
BACKTRACK,Dead_End_48,,67
BACKTRACK,Dead_End_49,,66
BACKTRACK,Dead_End_50,,65
BACKTRACK,Dead_End_51,,64
BACKTRACK,Dead_End_52,,59
BACKTRACK,Dead_End_53,,58
EQUALS,68,AnyVarRef:Bool:Bool:47 = 0,69
NOT_EQUALS,68,AnyVarRef:Bool:Bool:47 != 0,Dead_End_58
BACKTRACK,68,,49
EQUALS,69,AnyVarRef:Bool:Bool:48 = 0,70
NOT_EQUALS,69,AnyVarRef:Bool:Bool:48 != 0,Dead_End_57
BACKTRACK,69,,68
EQUALS,70,AnyVarRef:Bool:Bool:49 = 0,71
NOT_EQUALS,70,AnyVarRef:Bool:Bool:49 != 0,Dead_End_56
BACKTRACK,70,,69
EQUALS,71,AnyVarRef:Bool:Bool:53 = 0,Dead_End_54
NOT_EQUALS,71,AnyVarRef:Bool:Bool:53 != 0,Dead_End_55
BACKTRACK,71,,70
BACKTRACK,Dead_End_54,,71
BACKTRACK,Dead_End_55,,71
BACKTRACK,Dead_End_56,,70
BACKTRACK,Dead_End_57,,69
